time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-12-22 08:08:20.191 UTC, ,125,3160557,1288,14704, , ,3, ,20,3,0.15, , , , , , , ,3,3, ,2, ,2,1,5, ,37,18, , , , , , , , , , , , , ,8390,11, ,7899, , , , , ,24,24, , , , , ,2,105, , , , , , , , , , , , , , , , , , , , , , , , ,1513930099641, , , , ,3145728, , , ,26,0, , , ,2, , , ,3, , , , ,26, ,2048,1, , , , ,117959,39, , , , , , , , ,9,227,13473168,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 08:08:20.353 UTC, ,125,3167181,1288,21328, , ,5, ,10,2,0.20, , , , , , , ,5,5, , , ,3,3,7, ,8,2, , , , , , , , , , , , , ,8961,12,606,8505,1,2, ,2, ,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930099641, , , , ,3145728, , , ,6,113,1,113,1,3,1, , ,3,1, , , ,6,1, , , , , , ,14413,9,570,1, , , , , , , , ,15341152,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , 
2017-12-22 08:08:51.406 UTC, ,125,3160605,1288,14752, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,41,20, , , , , , , , , , , , , ,9470,13, ,9088, , , , , ,24,24, , , , , ,2,117, , , , , , , , , , , , , , , , , , , , , , , , ,1513930130826, , , , ,3145728, , , ,30,0, , , ,2, , , ,3, , , , ,30, ,2048,1, , , , ,122207,43, , , , , , , , ,9,228,13605264,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 08:08:51.529 UTC, ,125,3167229,1288,21376, , ,5, ,10,2,0.20, , , , , , , ,5,5, , , ,3,3,7, ,8,2, , , , , , , , , , , , , ,10079,14,497,9585,1,2, ,2, ,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930130826, , , , ,3145728, , , ,6,55,1,55,1,3,1, , ,3,1, , , ,6,1, , , , , , ,14413,9,608,1, , , , , , , , ,15630664,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , 
2017-12-22 08:19:10.425 UTC, ,125,3160653,1288,14800, , ,3,1,20,3,0.15, , , , , , , ,3,3, ,2,1,2,1,5, ,45,22, , , , , , , , , , , , , ,10757,15, ,10206, , , , , ,22,22, , , , , ,2,129, , , , , , , , , , , , , , , , , , , , , , , , ,1513930749597, , , , ,3145728, , , ,31,0, , , ,2, , , ,3, , , , ,31, ,2048,1, , , , ,120321,44, , , , , , , , ,14,209,10312048,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 08:20:10.432 UTC, ,125,3166917,1288,20840,224, ,5, ,12,2,0.17, , , , , , , ,5,5, , , ,3,2,8, ,5,3, , , , , , , , , , , , , ,10757,15, ,10206, , , , , ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930749597, , , , ,3145728, , , ,7,0, , , ,1, , , ,3, , , , ,7,1, , , , , , ,10381,8, , , , , , , , , , ,12984672,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3, , , , , , , , 
2017-12-22 08:20:29.911 UTC, ,125,3167445,1288,21592, , ,5, ,4, , , , , , , , , ,5,5, , , ,3,2,8, ,4, , , , , , , , , , , , , , ,11336,16,666,10872,1,2, ,2, ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930749597, , , , ,3145728, , , , ,62,1,62,1,2,1, , ,3,1, , , , ,1, , , , , , ,4096,2,578,1, , , , , , , , ,13628376,-1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 08:22:11.277 UTC, ,125,3160701,1288,14848, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,49,24, , , , , , , , , , , , , ,11849,17, ,11463, , , , , ,22,22, , , , , ,2,141, , , , , , , , , , , , , , , , , , , , , , , , ,1513930930134, , , , ,3145728, , , ,34,0, , , ,2, , , ,3, , , , ,34, ,2048,1, , , , ,122523,47, , , , , , , , ,9,1211,13417600,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 08:23:11.296 UTC, ,589,3179093,1288,32552,224, ,6, ,470,2,0.00, , , , , , , ,6,5, , , ,3,3,8, ,5,3, , , , , , , , , , , , , ,11849,17, ,11463, , , , , ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930930134, , , , ,3145728, , , ,7,0, , , ,1, , , ,3, , , , ,7,1, , , , , , ,10381,8, , , , , , , , ,4,19,13963592,-1, , , , , , ,185, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,143, , ,36,286, , , , , , , 
2017-12-22 08:24:11.304 UTC, ,589,3184621,1288,38080,224, ,7, ,163, , , , , , , , , ,7,5, , , ,3,4,8, , , , , , , , , , , , , , , , ,11849,17, ,11463, , , , , ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930930134, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,3,24017208,-1, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54, , , ,108, , , , , , , 
2017-12-22 08:25:11.312 UTC, ,589,3200853,1288,54312,224, ,9, ,688, , , , , , , , , ,9,5, , , ,3,6,7, , , , , , , , , , , , , , , , ,11849,17, ,11463, , , , , ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930930134, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,6,23135712,-1, , , , , , ,270, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,208, , ,62,416, , , , , , , 
2017-12-22 08:26:11.320 UTC, ,589,3226053,1288,79512,224, ,13, ,1032, , , , , , , , , ,13,5, , , ,3,10,7, , , , , , , , , , , , , , , , ,11849,17, ,11463, , , , , ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930930134, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,7,16748944,-1, , , , , , ,434, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,297, , ,137,594, , , , , , , 
2018-01-02 06:39:35.635 UTC, ,125,3160781,1288,14848,80, ,3,2,21,3,0.14, , , , , , , ,3,3, ,2,2,2,1,5, ,49,24, , , , , , , , , , , , , ,11849,17, ,11463, , , , , ,22,22, , , , , ,2,141, , , , , , , , , , , , , , , , , , , , , , , , ,1514875173697, , , , ,3145728, , , ,35,0, , , ,3, , , ,3, , , , ,35,1,2048,1, , , , ,122523,47, , , , , , , , ,9,371,11939216,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-02 14:16:59.634 UTC, ,125,3160701,1288,14848, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,49,24, , , , , , , , , , , , , ,11849,17, ,11463, , , , , ,22,22, , , , , ,2,141, , , , , , , , , , , , , , , , , , , , , , , , ,1514902618429, , , , ,3145728, , , ,34,0, , , ,2, , , ,3, , , , ,34, ,2048,1, , , , ,122523,47, , , , , , , , ,9,51,11182168,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-02 14:16:59.824 UTC, ,125,3164133,1288,18280, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,3,2,6, ,8,2, , , , , , , , , , , , , ,12462,18,501,11964,1,2, ,2, ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1514902618429, , , , ,3145728, , , ,4,85,1,85,1,3,1, , ,3,1, , , ,4,1, , , , , , ,10317,7,612,1, , , , , , , , ,12814592,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2018-01-02 14:18:00.071 UTC, ,125,3160749,1288,14896, , ,3,2,20,3,0.15, , , , , , , ,3,3, ,2,2,2,1,5, ,53,26, , , , , , , , , , , , , ,13005,19, ,12589, , , , , ,21,21, , , , , ,2,153, , , , , , , , , , , , , , , , , , , , , , , , ,1514902679517, , , , ,3145728, , , ,36,0, , , ,2, , , ,3, , , , ,36, ,2048,1, , , , ,122681,49, , , , , , , , ,9,33,13539448,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-01-02 14:18:00.192 UTC, ,125,3164181,1288,18328, , ,4, ,9,1,0.11, , , , , , , ,4,4, , , ,3,2,6, ,8,2, , , , , , , , , , , , , ,13843,20,531,13120,1,1,1,3, ,21,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1514902679517, , , , ,3145728, , , ,4,55,1,55,1,3,1, , ,3,1, , , ,4,1, , , , , , ,10317,7,837,1, , , , , , , , ,15156712,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
